Cow no,Weight(kg),Increase Weight,Total Feed(kg),Corn(ভুট্টা)(kg),Khail(খৈল)(kg),Khor(খর)(kg),Green Grass(kg),Sailase(সাইলেস)(kg),Wheat Husk(kg),Madicine,Water,Current,Coil,Worker,Total cost(tk),Milk(Ltr.),kids income,kids cost,Milk Income,Milk Revenue,Kids Revenue,Total_Revenue,profit
30,526,526.1232,15.78,3.156,1.8936,1.2624,3.945,1.578,3.156,30,6.66,3.33,10,66,463.939,13.15,49.01960784,13.7254902,920.5,456.561,35.29411765,491.8551176,1
31,751,751.1232,22.53,4.506,2.7036,1.8024,5.6325,2.253,4.506,30,6.66,3.33,10,66,612.7765,18.775,49.01960784,13.7254902,1314.25,701.4735,35.29411765,736.7676176,1
32,528,528.1232,15.84,3.168,1.9008,1.2672,3.96,1.584,3.168,30,6.66,3.33,10,66,465.262,13.2,49.01960784,13.7254902,924,458.738,35.29411765,494.0321176,1
33,541,541.1232,16.23,3.246,1.9476,1.2984,4.0575,1.623,3.246,30,6.66,3.33,10,66,473.8615,13.525,49.01960784,13.7254902,946.75,472.8885,35.29411765,508.1826176,1
34,419,419.1232,12.57,2.514,1.5084,1.0056,3.1425,1.257,2.514,30,6.66,3.33,10,66,393.1585,10.475,49.01960784,13.7254902,733.25,340.0915,35.29411765,375.3856176,1
35,477,477.1232,14.31,2.862,1.7172,1.1448,3.5775,1.431,2.862,30,6.66,3.33,10,66,431.5255,11.925,49.01960784,13.7254902,834.75,403.2245,35.29411765,438.5186176,1
36,461,461.1232,13.83,2.766,1.6596,1.1064,3.4575,1.383,2.766,30,6.66,3.33,10,66,420.9415,11.525,49.01960784,13.7254902,806.75,385.8085,35.29411765,421.1026176,1
37,489,489.1232,14.67,2.934,1.7604,1.1736,3.6675,1.467,2.934,30,6.66,3.33,10,66,439.4635,12.225,49.01960784,13.7254902,855.75,416.2865,35.29411765,451.5806176,1
38,499,499.1232,14.97,2.994,1.7964,1.1976,3.7425,1.497,2.994,30,6.66,3.33,10,66,446.0785,12.475,49.01960784,13.7254902,873.25,427.1715,35.29411765,462.4656176,1
39,579,579.1232,17.37,3.474,2.0844,1.3896,4.3425,1.737,3.474,30,6.66,3.33,10,66,498.9985,14.475,49.01960784,13.7254902,1013.25,514.2515,35.29411765,549.5456176,1
40,488,488.1232,14.64,2.928,1.7568,1.1712,3.66,1.464,2.928,30,6.66,3.33,10,66,438.802,12.2,49.01960784,13.7254902,854,415.198,35.29411765,450.4921176,1
41,455,455.1232,13.65,2.73,1.638,1.092,3.4125,1.365,2.73,30,6.66,3.33,10,66,416.9725,11.375,49.01960784,13.7254902,796.25,379.2775,35.29411765,414.5716176,1
42,457,457.1232,13.71,2.742,1.6452,1.0968,3.4275,1.371,2.742,30,6.66,3.33,10,66,418.2955,11.425,49.01960784,13.7254902,799.75,381.4545,35.29411765,416.7486176,1
43,468,468.1232,14.04,2.808,1.6848,1.1232,3.51,1.404,2.808,30,6.66,3.33,10,66,425.572,11.7,49.01960784,13.7254902,819,393.428,35.29411765,428.7221176,1
44,474,474.1232,14.22,2.844,1.7064,1.1376,3.555,1.422,2.844,30,6.66,3.33,10,66,429.541,11.85,49.01960784,13.7254902,829.5,399.959,35.29411765,435.2531176,1
45,491,491.1232,14.73,2.946,1.7676,1.1784,3.6825,1.473,2.946,30,6.66,3.33,10,66,440.7865,12.275,49.01960784,13.7254902,859.25,418.4635,35.29411765,453.7576176,1
46,483,483.1232,14.49,2.898,1.7388,1.1592,3.6225,1.449,2.898,30,6.66,3.33,10,66,435.4945,12.075,49.01960784,13.7254902,845.25,409.7555,35.29411765,445.0496176,1
47,544,544.1232,16.32,3.264,1.9584,1.3056,4.08,1.632,3.264,30,6.66,3.33,10,66,475.846,13.6,49.01960784,13.7254902,952,476.154,35.29411765,511.4481176,1
48,466,466.1232,13.98,2.796,1.6776,1.1184,3.495,1.398,2.796,30,6.66,3.33,10,66,424.249,11.65,49.01960784,13.7254902,815.5,391.251,35.29411765,426.5451176,1
49,456,456.1232,13.68,2.736,1.6416,1.0944,3.42,1.368,2.736,30,6.66,3.33,10,66,417.634,11.4,49.01960784,13.7254902,798,380.366,35.29411765,415.6601176,1
50,478,478.1232,14.34,2.868,1.7208,1.1472,3.585,1.434,2.868,30,6.66,3.33,10,66,432.187,11.95,49.01960784,13.7254902,836.5,404.313,35.29411765,439.6071176,1
51,487,487.1232,14.61,2.922,1.7532,1.1688,3.6525,1.461,2.922,30,6.66,3.33,10,66,438.1405,12.175,49.01960784,13.7254902,852.25,414.1095,35.29411765,449.4036176,1
52,452,452.1232,13.56,2.712,1.6272,1.0848,3.39,1.356,2.712,30,6.66,3.33,10,66,414.988,11.3,49.01960784,13.7254902,791,376.012,35.29411765,411.3061176,1
53,461,461.1232,13.83,2.766,1.6596,1.1064,3.4575,1.383,2.766,30,6.66,3.33,10,66,420.9415,11.525,49.01960784,13.7254902,806.75,385.8085,35.29411765,421.1026176,1
54,654,654.1232,19.62,3.924,2.3544,1.5696,4.905,1.962,3.924,30,6.66,3.33,10,66,548.611,16.35,49.01960784,13.7254902,1144.5,595.889,35.29411765,631.1831176,1
55,658,658.1232,19.74,3.948,2.3688,1.5792,4.935,1.974,3.948,30,6.66,3.33,10,66,551.257,16.45,49.01960784,13.7254902,1151.5,600.243,35.29411765,635.5371176,1
56,698,698.1232,20.94,4.188,2.5128,1.6752,5.235,2.094,4.188,30,6.66,3.33,10,66,577.717,17.45,49.01960784,13.7254902,1221.5,643.783,35.29411765,679.0771176,1
57,679,679.1232,20.37,4.074,2.4444,1.6296,5.0925,2.037,4.074,30,6.66,3.33,10,66,565.1485,16.975,49.01960784,13.7254902,1188.25,623.1015,35.29411765,658.3956176,1
58,639,639.1232,19.17,3.834,2.3004,1.5336,4.7925,1.917,3.834,30,6.66,3.33,10,66,538.6885,15.975,49.01960784,13.7254902,1118.25,579.5615,35.29411765,614.8556176,1
59,628,628.1232,18.84,3.768,2.2608,1.5072,4.71,1.884,3.768,30,6.66,3.33,10,66,531.412,15.7,49.01960784,13.7254902,1099,567.588,35.29411765,602.8821176,1
60,649,649.1232,19.47,3.894,2.3364,1.5576,4.8675,1.947,3.894,30,6.66,3.33,10,66,545.3035,16.225,49.01960784,13.7254902,1135.75,590.4465,35.29411765,625.7406176,1
61,671,671.1232,20.13,4.026,2.4156,1.6104,5.0325,2.013,4.026,30,6.66,3.33,10,66,559.8565,16.775,49.01960784,13.7254902,1174.25,614.3935,35.29411765,649.6876176,1
62,582,582.1232,17.46,3.492,2.0952,1.3968,4.365,1.746,3.492,30,6.66,3.33,10,66,500.983,14.55,49.01960784,13.7254902,1018.5,517.517,35.29411765,552.8111176,1
63,752,752.1232,22.56,4.512,2.7072,1.8048,5.64,2.256,4.512,30,6.66,3.33,10,66,613.438,18.8,49.01960784,13.7254902,1316,702.562,35.29411765,737.8561176,1
64,935,935.1232,28.05,5.61,3.366,2.244,7.0125,2.805,5.61,30,6.66,3.33,10,66,734.4925,23.375,49.01960784,13.7254902,1636.25,901.7575,35.29411765,937.0516176,1
65,861,861.1232,25.83,5.166,3.0996,2.0664,6.4575,2.583,5.166,30,6.66,3.33,10,66,685.5415,21.525,49.01960784,13.7254902,1506.75,821.2085,35.29411765,856.5026176,1
66,754,754.1232,22.62,4.524,2.7144,1.8096,5.655,2.262,4.524,30,6.66,3.33,10,66,614.761,18.85,49.01960784,13.7254902,1319.5,704.739,35.29411765,740.0331176,1
67,354,354.1232,10.62,2.124,1.2744,0.8496,2.655,1.062,2.124,30,6.66,3.33,10,66,350.161,8.85,49.01960784,13.7254902,619.5,269.339,35.29411765,304.6331176,1
68,329,329.1232,9.87,1.974,1.1844,0.7896,2.4675,0.987,1.974,30,6.66,3.33,10,66,333.6235,8.225,49.01960784,13.7254902,575.75,242.1265,35.29411765,277.4206176,1
69,357,357.1232,10.71,2.142,1.2852,0.8568,2.6775,1.071,2.142,30,6.66,3.33,10,66,352.1455,8.925,49.01960784,13.7254902,624.75,272.6045,35.29411765,307.8986176,1
70,368,368.1232,11.04,2.208,1.3248,0.8832,2.76,1.104,2.208,30,6.66,3.33,10,66,359.422,9.2,49.01960784,13.7254902,644,284.578,35.29411765,319.8721176,1
71,345,345.1232,10.35,2.07,1.242,0.828,2.5875,1.035,2.07,30,6.66,3.33,10,66,344.2075,8.625,49.01960784,13.7254902,603.75,259.5425,35.29411765,294.8366176,1
72,319,319.1232,9.57,1.914,1.1484,0.7656,2.3925,0.957,1.914,30,6.66,3.33,10,66,327.0085,7.975,49.01960784,13.7254902,558.25,231.2415,35.29411765,266.5356176,1
73,374,374.1232,11.22,2.244,1.3464,0.8976,2.805,1.122,2.244,30,6.66,3.33,10,66,363.391,9.35,49.01960784,13.7254902,654.5,291.109,35.29411765,326.4031176,1
74,389,389.1232,11.67,2.334,1.4004,0.9336,2.9175,1.167,2.334,30,6.66,3.33,10,66,373.3135,9.725,49.01960784,13.7254902,680.75,307.4365,35.29411765,342.7306176,1
75,382,382.1232,11.46,2.292,1.3752,0.9168,2.865,1.146,2.292,30,6.66,3.33,10,66,368.683,9.55,49.01960784,13.7254902,668.5,299.817,35.29411765,335.1111176,1
76,362,362.1232,10.86,2.172,1.3032,0.8688,2.715,1.086,2.172,30,6.66,3.33,10,66,355.453,9.05,49.01960784,13.7254902,633.5,278.047,35.29411765,313.3411176,1
77,389,389.1232,11.67,2.334,1.4004,0.9336,2.9175,1.167,2.334,30,6.66,3.33,10,66,373.3135,9.725,49.01960784,13.7254902,680.75,307.4365,35.29411765,342.7306176,1
78,371,371.1232,11.13,2.226,1.3356,0.8904,2.7825,1.113,2.226,30,6.66,3.33,10,66,361.4065,9.275,49.01960784,13.7254902,649.25,287.8435,35.29411765,323.1376176,1
79,395,395.1232,11.85,2.37,1.422,0.948,2.9625,1.185,2.37,30,6.66,3.33,10,66,377.2825,9.875,49.01960784,13.7254902,691.25,313.9675,35.29411765,349.2616176,1
80,368,368.1232,11.04,2.208,1.3248,0.8832,2.76,1.104,2.208,30,6.66,3.33,10,66,359.422,9.2,49.01960784,13.7254902,644,284.578,35.29411765,319.8721176,1
81,345,345.1232,10.35,2.07,1.242,0.828,2.5875,1.035,2.07,30,6.66,3.33,10,66,344.2075,8.625,49.01960784,13.7254902,603.75,259.5425,35.29411765,294.8366176,1
82,328,328.1232,9.84,1.968,1.1808,0.7872,2.46,0.984,1.968,30,6.66,3.33,10,66,332.962,8.2,49.01960784,13.7254902,574,241.038,35.29411765,276.3321176,1
83,324,324.1232,9.72,1.944,1.1664,0.7776,2.43,0.972,1.944,30,6.66,3.33,10,66,330.316,8.1,49.01960784,13.7254902,567,236.684,35.29411765,271.9781176,1
84,361,361.1232,10.83,2.166,1.2996,0.8664,2.7075,1.083,2.166,30,6.66,3.33,10,66,354.7915,9.025,49.01960784,13.7254902,631.75,276.9585,35.29411765,312.2526176,1
85,380,380.1232,11.4,2.28,1.368,0.912,2.85,1.14,2.28,30,6.66,3.33,10,66,367.36,9.5,49.01960784,13.7254902,665,297.64,35.29411765,332.9341176,1
86,325,325.1232,9.75,1.95,1.17,0.78,2.4375,0.975,1.95,30,6.66,3.33,10,66,330.9775,8.125,49.01960784,13.7254902,568.75,237.7725,35.29411765,273.0666176,1
87,361,361.1232,10.83,2.166,1.2996,0.8664,2.7075,1.083,2.166,30,6.66,3.33,10,66,354.7915,9.025,49.01960784,13.7254902,631.75,276.9585,35.29411765,312.2526176,1
88,385,385.1232,11.55,2.31,1.386,0.924,2.8875,1.155,2.31,30,6.66,3.33,10,66,370.6675,9.625,49.01960784,13.7254902,673.75,303.0825,35.29411765,338.3766176,1
89,355,355.1232,10.65,2.13,1.278,0.852,2.6625,1.065,2.13,30,6.66,3.33,10,66,350.8225,8.875,49.01960784,13.7254902,621.25,270.4275,35.29411765,305.7216176,1
90,345,345.1232,10.35,2.07,1.242,0.828,2.5875,1.035,2.07,30,6.66,3.33,10,66,344.2075,8.625,49.01960784,13.7254902,603.75,259.5425,35.29411765,294.8366176,1
91,321,321.1232,9.63,1.926,1.1556,0.7704,2.4075,0.963,1.926,30,6.66,3.33,10,66,328.3315,8.025,49.01960784,13.7254902,561.75,233.4185,35.29411765,268.7126176,1
92,327,327.1232,9.81,1.962,1.1772,0.7848,2.4525,0.981,1.962,30,6.66,3.33,10,66,332.3005,8.175,49.01960784,13.7254902,572.25,239.9495,35.29411765,275.2436176,1
93,349,349.1232,10.47,2.094,1.2564,0.8376,2.6175,1.047,2.094,30,6.66,3.33,10,66,346.8535,8.725,49.01960784,13.7254902,610.75,263.8965,35.29411765,299.1906176,1
94,367,367.1232,11.01,2.202,1.3212,0.8808,2.7525,1.101,2.202,30,6.66,3.33,10,66,358.7605,9.175,49.01960784,13.7254902,642.25,283.4895,35.29411765,318.7836176,1
95,342,342.1232,10.26,2.052,1.2312,0.8208,2.565,1.026,2.052,30,6.66,3.33,10,66,342.223,8.55,49.01960784,13.7254902,598.5,256.277,35.29411765,291.5711176,1
96,388,388.1232,11.64,2.328,1.3968,0.9312,2.91,1.164,2.328,30,6.66,3.33,10,66,372.652,9.7,49.01960784,13.7254902,679,306.348,35.29411765,341.6421176,1
97,349,349.1232,10.47,2.094,1.2564,0.8376,2.6175,1.047,2.094,30,6.66,3.33,10,66,346.8535,8.725,49.01960784,13.7254902,610.75,263.8965,35.29411765,299.1906176,1
98,379,379.1232,11.37,2.274,1.3644,0.9096,2.8425,1.137,2.274,30,6.66,3.33,10,66,366.6985,9.475,49.01960784,13.7254902,663.25,296.5515,35.29411765,331.8456176,1
99,347,347.1232,10.41,2.082,1.2492,0.8328,2.6025,1.041,2.082,30,6.66,3.33,10,66,345.5305,8.675,49.01960784,13.7254902,607.25,261.7195,35.29411765,297.0136176,1
100,315,315.1232,9.45,1.89,1.134,0.756,2.3625,0.945,1.89,30,6.66,3.33,10,66,324.3625,7.875,49.01960784,13.7254902,551.25,226.8875,35.29411765,262.1816176,1
101,285,285.1232,8.55,1.71,1.026,0.684,2.1375,0.855,1.71,30,6.66,3.33,10,66,304.5175,7.125,49.01960784,13.7254902,498.75,194.2325,35.29411765,229.5266176,1
102,345,345.1232,10.35,2.07,1.242,0.828,2.5875,1.035,2.07,30,6.66,3.33,10,66,344.2075,8.625,49.01960784,13.7254902,603.75,259.5425,35.29411765,294.8366176,1
103,357,357.1232,10.71,2.142,1.2852,0.8568,2.6775,1.071,2.142,30,6.66,3.33,10,66,352.1455,8.925,49.01960784,13.7254902,624.75,272.6045,35.29411765,307.8986176,1
104,385,385.1232,11.55,2.31,1.4084,0.98,2.8875,1.155,2.31,30,6.66,3.33,10,66,372.9523,9.625,49.01960784,13.7254902,673.75,300.7977,35.29411765,336.0918176,1
105,297,297.1232,8.91,2.4332,1.0692,0.7128,3.0107,1.2782,1.782,30,6.66,3.33,10,66,331.9651,7.425,49.01960784,13.7254902,519.75,187.7849,35.29411765,223.0790176,1
106,365,365.1232,10.95,2.19,1.314,0.876,2.7375,1.095,2.19,30,6.66,3.33,10,66,357.4375,9.125,49.01960784,13.7254902,638.75,281.3125,35.29411765,316.6066176,1
107,394,394.1232,11.82,2.364,1.4372,0.9992,2.955,1.182,2.364,30,6.66,3.33,10,66,378.6838,9.85,49.01960784,13.7254902,689.5,310.8162,35.29411765,346.1103176,1
108,264,264.1232,7.92,1.584,0.9504,0.6336,1.98,0.792,1.584,30,6.66,3.33,10,66,290.626,6.6,49.01960784,13.7254902,462,171.374,35.29411765,206.6681176,1
109,326,326.1232,9.78,1.7072,1.1736,0.7824,2.1032,0.9152,1.956,30,6.66,3.33,10,66,324.8236,8.15,49.01960784,13.7254902,570.5,245.6764,35.29411765,280.9705176,1
110,242,242.1232,7.26,1.452,1.2968,0.9056,1.815,0.726,1.452,30,6.66,3.33,10,66,303.2218,6.05,49.01960784,13.7254902,423.5,120.2782,35.29411765,155.5723176,1
111,319,319.1232,9.57,1.914,1.1484,0.7656,2.3925,0.957,1.914,30,6.66,3.33,10,66,327.0085,7.975,49.01960784,13.7254902,558.25,231.2415,35.29411765,266.5356176,1
112,283,283.1232,8.49,1.698,1.0188,0.6792,2.1225,0.849,1.698,30,6.66,3.33,10,66,303.1945,7.075,49.01960784,13.7254902,495.25,192.0555,35.29411765,227.3496176,1
113,326,326.1232,9.78,1.8212,1.142,0.8024,2.2457,0.9722,1.956,30,6.66,3.33,10,66,327.1129,8.15,49.01960784,13.7254902,570.5,243.3871,35.29411765,278.6812176,1
114,334,334.1232,10.02,2.004,1.2024,0.8016,2.505,1.002,2.004,30,6.66,3.33,10,66,336.931,8.35,49.01960784,13.7254902,584.5,247.569,35.29411765,282.8631176,1
115,267,267.1232,8.01,1.602,0.9612,0.6408,2.0025,0.801,1.602,30,6.66,3.33,10,66,292.6105,6.675,49.01960784,13.7254902,467.25,174.6395,35.29411765,209.9336176,1
116,314,314.1232,9.42,1.884,1.0844,0.764,2.355,0.942,1.884,30,6.66,3.33,10,66,321.7678,7.85,49.01960784,13.7254902,549.5,227.7322,35.29411765,263.0263176,1
117,365,365.1232,10.95,2.0072,1.314,0.876,2.4782,1.0652,2.19,30,6.66,3.33,10,66,352.5526,9.125,49.01960784,13.7254902,638.75,286.1974,35.29411765,321.4915176,1
118,314,314.1232,9.42,1.884,1.1304,0.7536,2.355,0.942,1.884,30,6.66,3.33,10,66,323.701,7.85,49.01960784,13.7254902,549.5,225.799,35.29411765,261.0931176,1
119,272,272.1232,8.16,1.632,1.2536,0.8768,2.04,0.816,1.632,30,6.66,3.33,10,66,313.7428,6.8,49.01960784,13.7254902,476,162.2572,35.29411765,197.5513176,1
120,327,327.1232,9.81,1.962,1.1772,0.7848,2.4525,0.981,1.962,30,6.66,3.33,10,66,332.3005,8.175,49.01960784,13.7254902,572.25,239.9495,35.29411765,275.2436176,1
121,296,296.1232,8.88,2.0852,1.0656,0.7104,2.5757,1.1042,1.776,30,6.66,3.33,10,66,321.3001,7.4,49.01960784,13.7254902,518,196.6999,35.29411765,231.9940176,1
122,316,316.1232,9.48,1.896,1.1888,0.8336,2.37,0.948,1.896,30,6.66,3.33,10,66,329.0848,7.9,49.01960784,13.7254902,553,223.9152,35.29411765,259.2093176,1
123,306,306.1232,9.18,1.836,1.1016,0.7344,2.295,0.918,1.836,30,6.66,3.33,10,66,318.409,7.65,49.01960784,13.7254902,535.5,217.091,35.29411765,252.3851176,1
124,275,275.1232,8.25,1.9592,0.99,0.66,2.4182,0.825,1.65,30,6.66,3.33,10,66,305.0304,6.875,49.01960784,13.7254902,481.25,176.2196,35.29411765,211.5137176,1
125,267,267.1232,8.01,1.602,0.9612,0.7832,2.0025,0.9482,1.602,30,6.66,3.33,10,66,297.3625,6.675,49.01960784,13.7254902,467.25,169.8875,35.29411765,205.1816176,1
126,249,249.1232,7.47,1.494,1.0844,0.5976,1.8675,0.747,1.494,30,6.66,3.33,10,66,289.5395,6.225,49.01960784,13.7254902,435.75,146.2105,35.29411765,181.5046176,1
127,298,298.1232,8.94,1.6172,1.0728,0.7152,1.9907,0.894,1.788,30,6.66,3.33,10,66,308.8449,7.45,49.01960784,13.7254902,521.5,212.6551,35.29411765,247.9492176,1
128,267,267.1232,8.01,1.602,0.9612,0.8384,2.0025,0.801,1.602,30,6.66,3.33,10,66,296.9577,6.675,49.01960784,13.7254902,467.25,170.2923,35.29411765,205.5864176,1
129,284,284.1232,8.52,1.704,1.0224,0.6816,2.13,0.9242,1.704,30,6.66,3.33,10,66,304.6502,7.1,49.01960784,13.7254902,497,192.3498,35.29411765,227.6439176,1
130,275,275.1232,8.25,1.8272,1.1456,0.66,2.2532,0.825,1.65,30,6.66,3.33,10,66,309.2086,6.875,49.01960784,13.7254902,481.25,172.0414,35.29411765,207.3355176,1
131,256,256.1232,7.68,1.536,0.9216,0.7832,1.92,0.768,1.536,30,6.66,3.33,10,66,289.0476,6.4,49.01960784,13.7254902,448,158.9524,35.29411765,194.2465176,1
132,334,334.1232,10.02,2.004,1.2024,0.8016,2.505,1.002,2.004,30,6.66,3.33,10,66,336.931,8.35,49.01960784,13.7254902,584.5,247.569,35.29411765,282.8631176,1
133,260,260.1232,7.8,2.1272,0.936,0.624,2.6282,1.1252,1.56,30,6.66,3.33,10,66,305.0326,6.5,49.01960784,13.7254902,455,149.9674,35.29411765,185.2615176,1
134,295,295.1232,8.85,1.77,1.0592,0.7472,2.2125,0.885,1.77,30,6.66,3.33,10,66,311.8633,7.375,49.01960784,13.7254902,516.25,204.3867,35.29411765,239.6808176,1
135,324,324.1232,9.72,1.944,1.1664,0.7776,2.43,0.972,1.944,30,6.66,3.33,10,66,330.316,8.1,49.01960784,13.7254902,567,236.684,35.29411765,271.9781176,1
136,342,342.1232,10.26,2.0672,1.2312,0.8208,2.5532,1.026,2.052,30,6.66,3.33,10,66,342.3684,8.55,49.01960784,13.7254902,598.5,256.1316,35.29411765,291.4257176,1
137,274,274.1232,8.22,1.644,0.9864,0.944,2.055,1.1492,1.644,30,6.66,3.33,10,66,307.141,6.85,49.01960784,13.7254902,479.5,172.359,35.29411765,207.6531176,1
138,314,314.1232,9.42,1.884,1.1096,0.7536,2.355,0.942,1.884,30,6.66,3.33,10,66,322.7234,7.85,49.01960784,13.7254902,549.5,226.7766,35.29411765,262.0707176,1
139,274,274.1232,8.22,2.0072,0.9864,0.6576,2.4782,0.822,1.644,30,6.66,3.33,10,66,305.6514,6.85,49.01960784,13.7254902,479.5,173.8486,35.29411765,209.1427176,1
140,385,385.1232,11.55,2.31,1.386,0.7808,2.8875,1.155,2.31,30,6.66,3.33,10,66,367.5171,9.625,49.01960784,13.7254902,673.75,306.2329,35.29411765,341.5270176,1
141,234,234.1232,7.02,1.404,0.8424,0.5616,1.755,1.2782,1.404,30,6.66,3.33,10,66,277.1192,5.85,49.01960784,13.7254902,409.5,132.3808,35.29411765,167.6749176,1
